oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
1546108400003950,93748835,2458691.9908036487,58691.488356499998,18.9948082,0.0541281253,0,zg,5.7217805999999998,13.6780252,0.70599997,-0.0189999994,20190727488356,1546,0x8,0x4,21.3799992,26.1410923,0.028828999,-0.0721814036,1.809891e-05,30,1.05400002,2
1546108400003950,93748880,2458691.9912550896,58691.488807900001,19.0728645,0.0572250783,0,zg,5.7217843999999998,13.6779885,0.501999974,0.0549999997,20190727488796,1546,0x8,0x4,21.3299999,26.1476803,0.0285667554,-0.0759686604,1.80223869e-05,30,1.05400002,3
1546108400003950,94649337,2458700.9965924961,58700.493379599997,19.3110447,0.0678062961,0,zg,5.7217875999999999,13.6779978,0.970000029,-0.0839999989,20190805493368,1546,0x8,0x4,21.6299992,26.1483879,0.0302826725,-0.0659810603,1.92670213e-05,30,1.05499995,2
1546108400003950,94950164,2458704.0050973697,58703.5016435,18.9857597,0.0537805445,0,zg,5.7218111,13.678016299999999,0.837000012,0.00400000019,20190808501632,1546,0x8,0x4,21.0499992,26.1254539,0.0309944134,-0.0545507222,2.2420063e-05,30,1.06900001,2
1546108400003950,94950209,2458704.0055488055,58703.502094900003,18.9137249,0.0510959923,0,zg,5.7218090999999998,13.678012499999999,0.964999974,0.0309999995,20190808502083,1546,0x8,0x4,21.0200005,26.1279068,0.0326363966,-0.0531381853,2.47737971e-05,30,1.07000005,3
1546108400003950,95944908,2458713.9532728945,58713.449085599997,18.5137787,0.0386583693,0,zg,5.7218042000000002,13.678032200000001,0.421999991,-0.0219999999,20190818449086,1546,0x8,0x4,20.1700001,26.1572018,0.0358884148,-0.0620825291,4.78663023e-05,30,1.051,2
1546108400003950,95945043,2458713.9546271903,58713.450439799999,18.3943062,0.0356674083,0,zg,5.7217748000000004,13.678000300000001,0.584999979,0.00100000005,20190818450440,1546,0x8,0x4,20.1100006,26.1819439,0.0366718508,-0.0718449429,5.47461241e-05,30,1.05200005,3
1546108400003950,96445687,2458718.9613901642,58718.456875000003,18.9752979,0.0533815697,0,zg,5.7217773999999997,13.6779926,0.490999997,0.0299999993,20190823456875,1546,0x8,0x4,21.0300007,26.1592197,0.0320423953,-0.0643426701,2.36536562e-05,30,1.06500006,2
1546108400003950,96445732,2458718.9618415907,58718.457326399999,18.8132477,0.0475899763,0,zg,5.7217827999999997,13.678032200000001,0.671999991,-0.0390000008,20190823457326,1546,0x8,0x4,21.0699997,26.1610126,0.0328575782,-0.0701775923,2.46433101e-05,30,1.06599998,3
1546108400003950,96843125,2458722.9360034377,58722.431250000001,18.5975094,0.0409403108,0,zg,5.7217867,13.678019300000001,0.716000021,-0.00999999978,20190827431250,1546,0x8,0x4,22.0400009,26.1312523,0.0249114465,-0.0714211762,1.31323168e-05,30,1.05400002,2
1546108400003950,96843170,2458722.9364548642,58722.431701399997,18.6150684,0.0414391831,0,zg,5.7217912999999996,13.677999399999999,1.10800004,-0.0419999994,20190827431701,1546,0x8,0x4,22.1100006,26.1409054,0.0262313914,-0.080718644,1.45500408e-05,30,1.05400002,3
1546108400003950,96944975,2458723.9545681006,58723.449756900001,18.3997688,0.0357976519,0,zg,5.7217767999999998,13.678006699999999,0.566999972,-0.0540000014,20190828449722,1546,0x8,0x4,22.0599995,26.1378613,0.0283818431,-0.0781412572,1.70966996e-05,30,1.07299995,2
1546108400003950,96945020,2458723.9550195262,58723.450208299997,18.5237942,0.0389230475,0,zg,5.7217767999999998,13.6779987,1.10800004,-0.107000001,20190828450208,1546,0x8,0x4,22.0699997,26.1346931,0.0271348599,-0.0674920902,1.55934631e-05,30,1.07299995,3
1546108400003950,97139166,2458725.8965841928,58725.391666700001,18.6260223,0.0417540669,0,zg,5.7217805999999998,13.677993300000001,0.76700002,-0.023,20190830391667,1546,0x8,0x4,22.0799999,26.1682358,0.0282072537,-0.0767788813,1.68977858e-05,30,1.05599999,2
1546108400003950,97139211,2458725.897035616,58725.392118099997,18.5587921,0.0398654155,0,zg,5.7217912000000002,13.678002899999999,0.939999998,-0.0209999997,20190830392118,1546,0x8,0x4,22.1100006,26.1675434,0.0278901476,-0.0802951977,1.64255616e-05,30,1.05599999,3
1546108400003950,97240733,2458726.9123090291,58726.407337999997,19.2578125,0.0652899221,0,zg,5.7217887000000003,13.6780224,1.255,0.00400000019,20190831407338,1546,0x8,0x4,21.9699993,26.1692715,0.0263352282,-0.0900589377,1.45502554e-05,30,1.051,2
1546108400003950,97240778,2458726.9127604519,58726.4077894,19.4193611,0.073200576,0,zg,5.7218153999999997,13.678008999999999,0.768999994,0.0379999988,20190831407789,1546,0x8,0x4,21.8999996,26.1838036,0.0267000664,-0.102990218,1.50053083e-05,30,1.051,3
1546108400003950,97344748,2458727.952512762,58727.447488400001,19.3940449,0.0719067976,0,zg,5.7217912999999996,13.67801,0.805000007,0.00800000038,20190901447454,1546,0x8,0x4,21.8999996,26.1273518,0.0259619895,-0.0833021551,1.39873982e-05,30,1.08500004,2
1546108400003950,97344793,2458727.9529641853,58727.447939799997,19.3066559,0.0675954595,0,zg,5.7217960000000003,13.6779963,0.657000005,-0.0560000017,20190901447940,1546,0x8,0x4,21.9899998,26.1169415,0.0257968344,-0.0687472373,1.39670365e-05,30,1.08599997,3
1546108400003950,98040228,2458734.9076212812,58734.402280100003,19.1412239,0.0600850098,0,zg,5.7217963999999997,13.678019300000001,0.40200001,0.0209999997,20190908402280,1546,0x8,0x4,21.4599991,26.1593628,0.0330064036,-0.0702585876,2.33846222e-05,30,1.05599999,2
1546108400003950,98040273,2458734.9080727003,58734.402731499998,19.0449944,0.0560988784,0,zg,5.7217602999999997,13.678025,0.896000028,0.0359999985,20190908402732,1546,0x8,0x4,21.4599991,26.1824436,0.0315908231,-0.10307584,2.1497548e-05,30,1.05599999,3
1546108400003950,98343560,2458737.9410588359,58737.435601899997,18.4283867,0.0364899933,0,zg,5.7218116999999999,13.678015,0.375999987,-0.0289999992,20190911435567,1546,0x8,0x4,20.7999992,26.1415577,0.0348368101,-0.0641243905,3.07499722e-05,30,1.11500001,2
1546108400003950,98343605,2458737.9415101535,58737.436053199999,18.5374107,0.0392864309,0,zg,5.7217845000000001,13.6779931,0.878000021,-0.0469999984,20190911436053,1546,0x8,0x4,20.8799992,26.1582947,0.0342552997,-0.0804422051,2.94984002e-05,30,1.11600006,3
1546108400003950,99240780,2458746.9135169885,58746.4078009,18.5577126,0.0398359597,0,zg,5.7217669000000004,13.678018399999999,0.713,0.0780000016,20190920407766,1546,0x8,0x4,20.6100006,26.1288166,0.0354534201,-0.04899358,3.4936711e-05,30,1.10800004,2
1546108400003950,99240825,2458746.9139683982,58746.408252300003,18.6081638,0.041242145,0,zg,5.7217843000000004,13.678004899999999,1.00199997,-0.0370000005,20190920408252,1546,0x8,0x4,20.7199993,26.140604,0.0334905013,-0.0678170547,2.95089758e-05,30,1.10899997,3
1546108400003950,99542723,2458749.9330082117,58749.427233800001,18.8787022,0.0498428978,0,zg,5.7217864000000001,13.678013,0.904999971,0.00100000005,20190923427234,1546,0x8,0x4,21.4799995,26.0927391,0.0295667741,-0.0819193348,1.85979588e-05,30,1.18599999,2
1546108400003950,99542768,2458749.9334596186,58749.427685199997,18.8833923,0.0500087813,0,zg,5.7217924,13.678020999999999,0.961000025,0.0520000011,20190923427685,1546,0x8,0x4,21.3600006,26.100462,0.0299068782,-0.0800103024,1.92137923e-05,30,1.18799996,3
1546108400003950,100439956,2458758.9054189725,58758.3995602,19.1296711,0.0595917925,0,zg,5.7217919000000004,13.678018,0.897000015,-0.0160000008,20191002399560,1546,0x8,0x4,21.6399994,26.1237812,0.0265049152,-0.0765915066,1.4924085e-05,30,1.17499995,2
1546108400003950,100440001,2458758.9058703724,58758.400011600002,19.1046371,0.0585369244,0,zg,5.7217909000000002,13.678039699999999,1.42799997,0.0149999997,20191002400012,1546,0x8,0x4,21.7099991,26.1135635,0.0296834577,-0.0637272894,1.84383534e-05,30,1.17700005,3
1546108400003950,100640951,2458760.9153730399,58760.409513899998,19.5757637,0.0816356689,0,zg,5.7217760000000002,13.678054400000001,0.583000004,0.0869999975,20191004409502,1546,0x8,0x4,21.4699993,26.1175499,0.0285338778,-0.0739585012,1.75931727e-05,30,1.23500001,2
1546108400003950,100640996,2458760.9158244398,58760.409965300001,19.5728264,0.0814703256,0,zg,5.7217830999999997,13.6780069,1.08399999,-0.135000005,20191004409965,1546,0x8,0x4,21.5,26.0976124,0.0293935817,-0.0597315468,1.8470244e-05,30,1.23699999,3
1546108400003950,101028798,2458764.7938268115,58764.287986099996,18.6365223,0.0420585647,0,zg,5.7217836000000002,13.6779928,0.467999995,-0.00999999978,20191008287986,1546,0x8,0x4,21.0499992,26.1261711,0.0316736586,-0.0659137741,2.45209631e-05,30,1.05400002,2
1546108400003950,101028843,2458764.7942782082,58764.288437499999,18.8408356,0.0485256165,0,zg,5.7218086000000001,13.678019300000001,0.94599998,-0.0610000007,20191008288438,1546,0x8,0x4,21.0699997,26.1168747,0.0293941554,-0.0539339446,2.064414e-05,30,1.05400002,3
1546108400003950,101229342,2458766.7992471675,58766.293425900003,18.586256,0.0406243429,0,zg,5.7218267000000003,13.677985,0.270000011,0.0289999992,20191010293414,1546,0x8,0x4,20.1100006,26.1374378,0.0341104679,-0.0289497115,4.30584405e-05,30,1.051,2
1546108400003950,101231412,2458766.819941429,58766.314120399999,18.8204861,0.0478335135,0,zg,5.7217849000000003,13.677988900000001,0.730000019,0.142000005,20191010314097,1546,0x8,0x4,20.2700005,26.1411228,0.0389293246,-0.0479147397,4.90390485e-05,30,1.05599999,3
1546108400003950,101338457,2458767.8903796258,58767.384571800001,19.0718441,0.0571834482,0,zg,5.7217054999999997,13.6779232,0.694000006,-0.108000003,20191011384537,1546,0x8,0x4,19.6000004,26.1354065,0.0392844975,-0.0686429515,8.27631811e-05,30,1.21099997,2
1546108400003950,101338502,2458767.8908309191,58767.385023100003,19.2564774,0.0652279481,0,zg,5.7216221999999997,13.677858000000001,0.769999981,-0.0869999975,20191011385023,1546,0x8,0x4,19.4699993,26.1162987,0.0400273092,-0.0501308925,0.000100796831,30,1.21300006,3
1546108400003950,101431121,2458768.8170102173,58768.311215299997,18.7620564,0.0459067039,0,zg,5.7217393999999997,13.678005199999999,0.515999973,0.0879999995,20191012311215,1546,0x8,0x4,19.6900005,26.1574135,0.0356518999,-0.096839048,6.84247789e-05,30,1.05700004,2
1546108400003950,101431166,2458768.8174616108,58768.311666699999,18.7247505,0.0447222963,0,zg,5.7217631000000004,13.6780312,0.731999993,0.180999994,20191012311667,1546,0x8,0x4,19.75,26.1888542,0.0370675065,-0.0920116603,7.31225446e-05,30,1.05799997,3
1546108400003950,101827836,2458772.7840914913,58772.2783681,19.2521305,0.0650265738,0,zg,5.7217777999999999,13.6778399,0.55400002,0.112999998,20191016278368,1546,0x8,0x4,19.8500004,25.9898777,0.0401502438,-0.0570751503,7.46447549e-05,30,1.051,2
1546108400003950,101827927,2458772.7849941705,58772.279270799998,19.0730762,0.0572336987,0,zg,5.7217355999999997,13.6778949,1.13800001,-0.0970000029,20191016279271,1546,0x8,0x4,19.8099995,25.9515629,0.0394463129,-0.0535072014,7.86466262e-05,30,1.051,3
1546108400003950,102924363,2458783.7490257779,58783.243634300001,18.9311657,0.0517326035,0,zg,5.7217827000000003,13.6780259,0.944000006,-0.0489999987,20191027243634,1546,0x8,0x4,21.3799992,26.1687546,0.0371654555,-0.0992313474,2.98226096e-05,30,1.051,2
1546108400003950,102924408,2458783.7494770596,58783.244085600003,18.9480972,0.0523587428,0,zg,5.7217606999999999,13.678018399999999,0.559000015,0.0419999994,20191027244086,1546,0x8,0x4,21.6700001,26.1667976,0.0291314218,-0.0954804122,1.83439697e-05,30,1.051,3
1546108400003950,103220042,2458786.7056971798,58786.200428199998,18.8735199,0.0496603362,0,zg,5.7217878999999998,13.678018700000001,1.08399999,0.105999999,20191030200417,1546,0x8,0x4,21.2900009,26.1168537,0.0351174027,-0.0757633224,2.72843263e-05,30,1.08200002,2
1546108400003950,103220087,2458786.7061485602,58786.200879600001,18.8654652,0.0493780077,0,zg,5.7217944000000003,13.678020500000001,0.819000006,-0.0390000008,20191030200880,1546,0x8,0x4,21.5100002,26.1277428,0.0309685096,-0.100113057,2.05248689e-05,30,1.08200002,3
1546108400003950,103720504,2458791.7100773873,58791.205046299998,19.3956776,0.0719896555,0,zg,5.7218078999999999,13.6780176,1.21899998,0.0199999996,20191104205046,1546,0x8,0x4,21.2999992,26.1496315,0.0322378799,-0.0826440826,2.29600519e-05,30,1.06099999,2
1546108400003950,103720549,2458791.7105287621,58791.205497700001,19.4759827,0.076166831,0,zg,5.7217599999999997,13.678008500000001,1.48500001,0.0989999995,20191104205498,1546,0x8,0x4,21.2900009,26.1299381,0.0327151679,-0.0510938689,2.32741895e-05,30,1.05999994,3
1546108400003950,104822407,2458802.7284546671,58802.224074099999,19.2152309,0.0633404851,0,zg,5.7218159000000002,13.6779762,0.871999979,-0.107000001,20191115224074,1546,0x8,0x4,20.7700005,26.1699791,0.035424348,-0.0816120133,3.2711625e-05,30,1.06200004,2
1546108400003950,104822452,2458802.728906035,58802.224525500002,19.2599831,0.0653908104,0,zg,5.7217775,13.6780066,0.463,0.00300000003,20191115224514,1546,0x8,0x4,20.9400005,26.1589622,0.0399926901,-0.0700849816,3.96885662e-05,30,1.06200004,3
1546108400003950,208537218,2459839.8778364919,59839.372187499997,19.4315071,0.073828429,0,zg,5.7218276000000001,13.6780249,1.37600005,0.114,20220917372176,1546,0x8,0x4,21.6200008,26.3356495,0.0268689021,-0.084381938,1.56006572e-05,30,1.05299997,2
1546108400003950,210633377,2459860.8396115336,59860.333773099999,17.8148651,0.0248646699,0,zg,5.7218108000000001,13.678023,0.564999998,-0.00899999961,20221008333762,1546,0x8,0x4,20.2800007,26.265934,0.0353243612,-0.0595332012,4.58105642e-05,30,1.06799996,2
1546108400003950,211232523,2459866.8309892709,59866.325231499999,18.1773624,0.0309612695,0,zg,5.7218074999999997,13.6780504,0.294999987,0.00999999978,20221014325231,1546,0x8,0x4,20.8999996,26.2737789,0.0299666561,-0.0550367199,2.20124512e-05,30,1.07799995,2
1546108400003950,211330440,2459867.8101486173,59867.304409700002,18.3792496,0.0353115201,0,zg,5.7218287999999999,13.6780347,0.275999993,0.00700000022,20221015304398,1546,0x8,0x4,20.7999992,26.2179184,0.0363772437,-0.0750748143,3.46955712e-05,30,1.05799997,2
