oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
663115100005802,62351379,2458378.0112533686,58377.513796300002,21.1450043,0.214665413,0,zg,117.3213476,36.907800600000002,0.948000014,-0.246000007,20180916513785,663,0xf,0x1,21.3899994,26.2316189,0.0350085199,-0.0639408156,1.25146526e-05,30,1.40999997,1
663115100005802,64348151,2458397.9807734462,58397.481516200001,21.5266781,0.247010231,0,zg,117.3213866,36.907729099999997,0.602999985,-0.247999996,20181006481516,663,0xf,0x1,21.8299999,26.2390499,0.0248327535,-0.0539338924,6.3602256e-06,30,1.27400005,1
663115100005802,67244646,2458426.9484682768,58426.446469900002,21.4347115,0.239216566,0,zg,117.3212683,36.907741199999997,0.962000012,-0.462000012,20181104446389,663,0xf,0x1,21.5900002,26.3269539,0.0299812015,-0.0997722745,9.24646338e-06,30,1.10699999,1
663115100005802,67245604,2458426.9580409387,58426.456041700003,21.6351242,0.256200552,0,zg,117.3213959,36.907650199999999,0.326000005,-0.120999999,20181104456030,663,0xf,0x1,21.7299995,26.3154011,0.0280377325,-0.0807821453,8.03285639e-06,30,1.08299994,3
663115100005802,67452405,2458429.026236359,58428.5240509,21.6375332,0.256404638,0,zg,117.32133930000001,36.907848600000001,0.533999979,-0.0920000002,20181106524028,663,0xf,0x1,21.7600002,26.3156834,0.027064763,-0.0509801358,7.62614309e-06,30,1,3
663115100005802,67544255,2458429.9448252125,58429.442557900002,21.5253601,0.246898651,0,zg,117.3213504,36.907698000000003,0.749000013,-0.275999993,20181107442442,663,0xf,0x1,22,26.2875214,0.0260499753,-0.0605963543,7.0581641e-06,30,1.09599996,1
663115100005802,67545300,2458429.9552775519,58429.453009299999,21.5620193,0.250005245,0,zg,117.3212741,36.907783000000002,1.25699997,0.0299999993,20181107452894,663,0xf,0x1,22.25,26.2872066,0.0285831448,-0.0596764088,8.41113888e-06,30,1.07099998,3
663115100005802,67643233,2458430.9346929388,58430.432337999999,22.0652275,0.292649508,0,zg,117.32128059999999,36.907815399999997,0.456,0.0270000007,20181108432326,663,0xf,0x1,22.0699997,26.3178501,0.0287958328,-0.0839128941,8.53573056e-06,30,1.11600006,3
663115100005802,67844651,2458432.9490473969,58432.446516199998,21.9490356,0.28280282,0,zg,117.32146779999999,36.907750999999998,0.555999994,-0.418000013,20181110446505,663,0xf,0x1,21.7199993,26.2938995,0.027878426,-0.0564725883,7.8742878e-06,30,1.06799996,3
663115100005802,67844743,2458432.9499618839,58432.447430599997,21.3005352,0.227845907,0,zg,117.3213653,36.907686599999998,1.12899995,-0.142000005,20181110447431,663,0xf,0x1,21.7099991,26.2933865,0.0270207301,-0.0570484772,7.50507161e-06,30,1.06599998,1
663115100005802,68747690,2458441.9801919116,58441.476909700003,21.2795563,0.22606802,0,zg,117.321185,36.907782099999999,0.526000023,-0.0260000005,20181119476898,663,0xf,0x1,21.7900009,26.3034859,0.0273801908,-0.0693413615,7.72207841e-06,30,1.00199997,1
663115100005802,72646678,2458480.9722154718,58480.466782399999,19.7454739,0.0911042914,0,zg,117.3214693,36.9078704,0.786000013,0.00400000019,20181228466782,663,0xf,0x1,20.3299999,26.2876263,0.0390056334,-0.0452816822,2.54780734e-05,30,1.10599995,1
663115100005802,73924459,2458493.7502325708,58493.244594900003,19.6121349,0.082402274,0,zg,117.321245,36.907747899999997,0.593999982,-0.00899999961,20190110244583,663,0xf,0x1,21.5599995,26.2921562,0.0309642423,-0.0713300481,9.88070678e-06,30,1.16499996,1
663115100005802,75420302,2458508.7085464904,58508.2030208,20.6038857,0.168808579,0,zg,117.3214333,36.907782500000003,0.847000003,-0.151999995,20190125203009,663,0xf,0x1,21.0599995,26.2788925,0.033958476,-0.0511514656,1.28622451e-05,30,1.16799998,1
663115100005802,75717343,2458511.6788963969,58511.173437500001,18.96138,0.0511467457,0,zg,117.3212934,36.907784399999997,1.71300006,-0.0529999994,20190128173426,663,0xf,0x1,20.9899998,26.2064018,0.0353993177,-0.0419871882,1.43238522e-05,30,1.25800002,1
663115100005802,76817847,2458522.6835594191,58522.178472200001,19.7993011,0.0948807672,0,zg,117.3213123,36.907789899999997,1.16199994,-0.0799999982,20190208178472,663,0xf,0x1,21.2399998,26.2537346,0.0330274999,-0.0366581865,1.21723506e-05,30,1.12199998,1
663115100005802,78425870,2458538.7629245701,58538.258703699998,20.0448303,0.114186212,32768,zg,117.3214006,36.907857800000002,0.880999982,-0.256999999,20190224258692,663,0xf,0x1,20.1800003,25.1238518,0.0432776399,-0.0377387889,4.15237482e-05,30,1.01600003,1
663115100005802,79328840,2458547.791992384,58547.288402799997,21.4613113,0.241470814,0,zg,117.3213406,36.907755899999998,0.609000027,-0.0320000015,20190305288391,663,0xf,0x1,21.5599995,26.2693424,0.0294589568,-0.06375397,8.93309698e-06,30,1.11699998,1
663115100005802,81317467,2458567.676603328,58567.174675900002,20.7011108,0.177047849,0,zg,117.3214035,36.907775600000001,1.15499997,0.112999998,20190325174676,663,0xf,0x1,21.5400009,26.2120895,0.0285661519,-0.0476510115,8.4214962e-06,30,1.01199996,1
663115100005802,81515921,2458569.6625222862,58569.159212999999,19.9804153,0.108778372,0,zg,117.3213193,36.907763199999998,0.284000009,0.0199999996,20190327159005,663,0xf,0x1,22.4099998,28.421505,0.0190469567,-0.0572954379,3.76385606e-06,300,1.005,2
663115100005802,81532687,2458569.8301688372,58569.326874999999,19.6964569,0.0877994075,32768,zg,117.32133829999999,36.907761200000003,0.479000002,-0.0839999989,20190327326748,663,0xf,0x1,20.6399994,27.6867867,0.030351771,-0.034313675,1.07499227e-05,300,1.74899995,2
663115100005802,82120211,2458575.7033042158,58575.202118100002,20.3396091,0.142274916,32768,zg,117.3217465,36.9077445,0.984000027,-0.165999994,20190402202118,663,0xf,0x1,20.6100006,25.2913036,0.0400786512,-0.0521660671,2.68112781e-05,30,1.09099996,1
663115100005802,82719099,2458581.6916147755,58581.1909954,21.1401653,0.214255333,0,zg,117.3211592,36.907868399999998,0.708000004,-0.321999997,20190408190949,663,0xf,0x1,21.3500004,26.1173382,0.0300405007,-0.0562738068,9.71047302e-06,30,1.10399997,1
663115100005802,83021224,2458584.7125767525,58584.212245399998,19.726572,0.0898149312,0,zg,117.3213298,36.907798499999998,0.307000011,-0.0810000002,20190411212245,663,0xf,0x1,20.9400005,26.1816292,0.0324377716,-0.0503570773,1.26465056e-05,30,1.204,1
663115100005802,83317310,2458587.6731506642,58587.1731019,19.730999,0.0901152566,0,zg,117.3212777,36.907743799999999,0.896000028,-0.100000001,20190414173090,663,0xf,0x1,20.5799999,26.2243805,0.0358213186,-0.0524151884,1.90361679e-05,30,1.10000002,1
663115100005802,84420685,2458598.7058564173,58598.206851900002,20.2562904,0.133764461,0,zg,117.3212575,36.907799599999997,0.726000011,0.0590000004,20190425206852,663,0xf,0x1,21.4899998,26.1448498,0.028475713,-0.0581964105,8.46140392e-06,30,1.37699997,1
663115100005802,84818416,2458602.6828028993,58602.184166699997,21.2734356,0.22554934,0,zg,117.3211853,36.907625799999998,0.866999984,-0.296999991,20190429184155,663,0xf,0x1,21.4099998,26.2116432,0.0304120649,-0.0653583258,9.56495569e-06,30,1.30599999,1
663115100005802,97248747,2458726.9836880793,58726.487476900002,18.5680733,0.0390898325,0,zg,117.3213633,36.907760500000002,0.538999975,-0.0289999992,20190831487477,663,0xf,0x1,20.9799995,25.9797897,0.0334697329,-0.0503732748,1.2731075e-05,30,2.34200001,1
663115100005802,97949061,2458733.9873285783,58733.490613399998,18.5013924,0.037424013,0,zg,117.3212905,36.907737500000003,0.497999996,-0.00300000003,20190907490613,663,0xf,0x1,20.7199993,26.0625839,0.0362355039,-0.0493401177,1.70861658e-05,30,1.91900003,1
663115100005802,98248988,2458736.9868306424,58736.489884299997,19.3385735,0.0672005415,0,zg,117.32123300000001,36.907761600000001,1.09000003,0.074000001,20190910489884,663,0xf,0x1,21.3500004,26.099247,0.0295999367,-0.0721258521,9.24826327e-06,30,1.81200004,1
663115100005802,98851539,2458743.0128288697,58742.515393499998,18.7464104,0.0440521874,32768,zg,117.3213409,36.907758299999998,0.713999987,-0.230000004,20190916515394,663,0xf,0x1,19.1700001,25.2563229,0.119810745,-0.00992783718,0.000652284536,30,1.403,1
663115100005802,99451462,2458749.0125805647,58748.514629600002,18.8515682,0.0473589413,0,zg,117.3212999,36.9077701,0.582000017,0.0130000003,20190922514618,663,0xf,0x1,20.8400002,26.155838,0.0313080065,-0.0351970382,1.26826671e-05,30,1.30499995,1
663115100005802,99749069,2458751.9889102313,58751.490694400003,20.1977119,0.128054082,0,zg,117.3213112,36.907779400000003,1.06299996,-0.116999999,20190925490694,663,0xf,0x1,21.3700008,26.08358,0.0285377968,-0.0572406426,8.57999294e-06,30,1.40400004,1
663115100005802,100245375,2458756.9524186663,58756.453750000001,20.2192917,0.130131736,0,zg,117.3212939,36.907793300000002,0.57099998,-0.0309999995,20190930453669,663,0xf,0x1,21.2600002,26.1116676,0.0313388444,-0.0516793169,1.05011404e-05,30,1.59899998,1
