wavelength_A,flux,error,model,mission,instrument,plate,mjd,fiberid,specobjid,run2d,programname,data_release
3865.4487,30.330498,2.8793027,28.97893,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3866.34,30.472687,2.8229642,28.86223,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3867.2297,32.284546,2.8465228,28.89383,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3868.1213,32.61845,2.8226445,28.93081,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3869.0112,30.377495,2.7738123,28.915836,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3869.9014,28.176437,2.7289112,28.978254,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3870.7937,28.907188,2.7808967,29.093435,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3871.684,32.43094,2.8690531,29.047377,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3872.577,33.27463,2.9534867,29.081392,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3873.4678,31.436878,2.9188728,29.017756,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3874.361,30.126421,2.8939784,28.935175,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3875.2524,29.860294,2.872228,28.9082,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3876.1438,28.176065,2.786692,28.90572,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3877.0376,30.624714,2.8376486,28.874084,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3877.9297,34.35014,2.8669205,28.932224,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3878.8237,30.856243,2.8099298,28.912064,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3879.716,25.07592,2.7141395,28.801886,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3880.6108,28.069855,2.7507827,28.663403,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3881.5037,29.826954,2.8021703,28.594837,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3882.3965,34.395267,2.8879561,28.656034,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3883.2917,33.203094,2.8543162,28.690422,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3884.185,26.928852,2.6599038,28.71901,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3885.0808,26.282162,2.6986375,28.747164,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3885.9746,30.590626,2.7571673,28.795086,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3886.8706,31.651617,2.7736728,28.804752,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3887.765,29.157051,2.7211523,28.670988,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3888.6592,29.272104,2.6718233,28.557348,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3889.556,29.800714,2.6542284,28.544117,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3890.4507,26.404661,2.536521,28.599176,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3891.348,26.96553,2.5808604,28.632399,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3892.243,30.118874,2.6269312,28.623203,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3893.1406,30.064264,2.6359222,28.635866,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3894.0361,31.977587,2.6760845,28.614145,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3894.934,30.771162,2.6861963,28.572248,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3895.83,26.389393,2.6051927,28.525429,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3896.7263,29.36514,2.702254,28.49779,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3897.625,33.27034,2.7377598,28.484005,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3898.5215,26.013077,2.5914822,28.46628,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3899.4207,27.582481,2.579702,28.519606,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3900.3176,26.502506,2.5271482,28.486609,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3901.217,30.217632,2.5582497,28.474756,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3902.1145,29.93986,2.6043854,28.517351,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3903.0122,26.837698,2.6095898,28.530926,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3903.912,27.63707,2.608469,28.454386,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3904.8103,26.503273,2.6238017,28.431799,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3905.7107,28.152866,2.6758823,28.371717,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3906.6094,29.095627,2.7613826,28.355417,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3907.51,23.644804,2.6741743,28.388365,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3908.409,26.63606,2.7121978,28.391415,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3909.308,24.075665,2.6587875,28.317394,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3910.2097,26.265652,2.6567106,28.268564,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3911.1091,31.612019,2.7179208,28.154184,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3912.011,26.255129,2.5560758,28.081345,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3912.9111,24.616556,2.5347846,28.113085,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3913.8132,28.096931,2.6023674,28.194126,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3914.7136,27.651289,2.5926473,28.220058,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3915.6143,24.873768,2.5480173,28.217106,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3916.517,24.254438,2.542754,28.176392,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3917.4182,21.67276,2.4954562,28.108273,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3918.3215,24.749027,2.5479577,28.053059,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3919.223,27.573626,2.6140625,28.067,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3920.1267,34.579735,2.7407196,28.148418,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3921.0286,27.758284,2.6281495,28.126444,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3921.9307,26.688839,2.6126738,28.083735,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3922.835,27.191341,2.5768356,28.032053,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3923.7373,24.112814,2.5168946,28.059189,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3924.642,21.112333,2.4363875,28.137438,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3925.5452,22.859772,2.453907,28.089653,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3926.4502,27.481047,2.4743714,28.052534,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3927.3535,25.731798,2.478253,28.082195,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3928.257,28.091972,2.4745414,28.063751,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3929.1628,19.755865,2.315723,28.0297,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3930.0667,30.358183,2.5344858,28.01551,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3930.9731,31.272549,2.6843371,27.969316,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3931.8774,23.77802,3.074642,28.000738,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3932.784,24.273897,3.2088304,27.955866,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3933.6887,27.844124,2.6252332,27.87335,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3934.5938,26.434095,2.5219238,27.792454,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3935.501,25.654455,2.4425845,27.734179,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3936.4062,25.991762,2.3994656,27.749344,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3937.3142,25.762144,2.368066,27.879938,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3938.22,25.58933,2.3448246,27.87699,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3939.128,28.66784,2.3713565,27.845196,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3940.0342,27.21053,2.3308544,27.904886,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3940.9407,28.092257,2.3684306,27.955093,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3941.8494,31.483452,2.4311748,27.812431,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3942.756,29.0967,2.3966818,27.795853,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3943.6653,25.756134,2.3439956,27.791557,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
