# wavelength_A flux_1e-17 err_1e-17
3992.0879 27.997799 2.4825139
3993.0063 26.011597 2.4628491
3993.925 27.718969 2.4803989
3994.8459 22.506762 2.3498547
3995.7649 25.079727 2.3516572
3996.6863 25.509726 2.4280176
3997.6057 25.869371 2.4180064
3998.5276 28.162432 2.4646122
3999.4475 29.333246 2.434516
4000.3674 24.473137 2.2920966
4001.29 20.17996 2.1918914
4002.2104 25.184027 2.2358036
4003.1333 29.625542 2.2780137
4004.0544 25.385214 2.1665637
4004.9775 25.354015 2.1291268
4005.8989 26.834112 2.1092954
4006.8206 22.358328 2.0153191
4007.7446 27.723955 2.0696805
4008.6665 29.258625 2.144516
4009.5908 25.784422 2.1079202
4010.5132 25.80871 2.1210189
4011.438 28.407331 2.123266
4012.3608 28.374903 2.1007583
4013.2839 27.771049 2.064399
4014.2095 26.259321 2.0267127
4015.1328 26.562086 2.0369484
4016.0588 26.186533 2.0332241
4016.9827 24.780191 1.9645295
4017.9089 24.251236 1.9529035
4018.8333 25.787584 1.9683251
4019.7578 26.44371 2.1702499
4020.6848 24.703438 2.1787877
4021.6096 25.130241 2.2267187
4022.5371 29.669519 2.0838299
4023.4624 30.368395 2.0938451
4024.3901 24.627796 2.0034854
4025.3162 25.900644 2.0025859
4026.2422 30.591822 2.0488751
4027.1704 28.469084 2.0078998
4028.0969 26.565554 1.9498986
4029.0259 26.256767 1.92249
4029.9526 27.373123 1.9106475
4030.8821 27.783293 1.9175037
4031.8093 25.830336 1.8647845
4032.739 25.457602 1.8668624
4033.6667 26.29339 1.8613509
4034.5947 24.501196 1.8761441
4035.5251 27.937181 1.9535081
4036.4534 22.001305 1.8782184
4037.3843 23.865976 1.9270118
4038.313 22.965887 1.9228112
4039.2441 24.141745 1.908224
4040.1736 25.126226 1.9166006
4041.103 24.337158 1.9125422
4042.0347 27.234598 2.002176
4042.9646 27.964235 2.0423405
4043.897 23.058449 1.9545859
4044.8271 24.353361 2.032501
4045.76 24.055305 2.0874197
4046.6907 28.851271 2.227937
4047.6216 24.903814 2.1419249
4048.5549 26.431393 2.0838845
4049.4863 27.415487 2.0476279
4050.4202 26.958349 2.0257289
4051.3521 26.964161 2.0399208
4052.2861 24.82597 2.0177045
4053.2185 24.493134 1.9583765
4054.1509 22.84897 1.8971815
4055.0857 25.834656 1.9361351
4056.0186 25.912273 1.9365671
4056.9539 26.565098 1.9492917
4057.8872 23.165045 1.9362403
4058.823 22.614214 1.9760351
4059.7566 24.231306 2.0484593
4060.6907 24.970831 2.0761516
4061.627 26.295021 2.1034553
4062.5613 27.87228 2.1067302
4063.4983 25.693092 2.0501628
4064.4331 23.126846 1.96505
4065.3701 26.753212 1.9864953
4066.3054 30.567404 2.0442283
4067.241 27.39854 1.986607
4068.1787 25.934074 1.951995
4069.1147 27.754566 1.9752039
4070.053 26.571224 1.9670577
4070.9893 24.091223 1.9514029
4071.928 24.183376 1.9418998
4072.8647 26.683405 2.0156586
4073.8018 28.477739 2.0569482
4074.7412 23.87962 1.9492713
4075.6787 22.769258 1.9323864
4076.6184 21.049999 1.8803601
4077.5562 24.532581 2.0036852
4078.4966 23.405512 2.0024905
4079.4348 26.023058 2.0227923
4080.3733 26.825451 2.0428283
4081.3142 26.84878 2.0413251
4082.2532 26.45808 2.0549667
4083.1943 23.965101 2.0421286
4084.1338 25.376953 2.0381646
4085.0757 24.834736 2.0102642
4086.0154 26.850269 2.0389335
4086.9553 29.988598 2.1475544
4087.8977 28.465763 2.1107216
4088.8381 26.732141 2.057559
4089.781 28.302523 2.0192754
4090.7219 26.107483 1.9794425
4091.6653 23.994972 1.9317142
4092.6064 25.335016 1.9691498
4093.5481 27.953569 2.049464
4094.4919 30.529306 2.093626
4095.4338 27.194641 2.0449505
4096.3784 22.407204 1.8880684
4097.3208 29.873167 1.9923506
4098.2656 28.493372 1.9677911
4099.2085 27.813633 1.9666278
4100.1514 29.935608 2.0418327
4101.0967 31.470985 2.0444868
4102.04 29.595682 2.0033541
4102.9863 28.30608 1.9784682
4103.9302 28.429741 1.9696319
4104.8765 25.884062 1.9142596
4105.8208 25.452015 1.8986081
4106.7676 26.301844 1.9049135
4107.7124 30.324371 1.9821534
4108.6572 31.372179 2.0212109
4109.6045 28.914165 1.9470663
4110.5503 25.794777 1.8681104
4111.498 26.287643 1.845436
4112.4438 27.67326 1.8609037
4113.3921 27.708525 1.8588121
4114.3384 27.056227 1.8647915
4115.2852 27.597721 1.8891037
4116.2339 30.058199 1.9594902
4117.1807 29.670424 1.9447069
4118.1304 30.270599 1.9200923
4119.0776 27.281693 1.8161001
4120.0273 26.903549 1.8181422
4120.9751 29.532856 1.8840517
4121.9233 25.926851 1.8540319
4122.874 26.423088 1.9436991
4123.8223 28.341198 2.0195384
4124.7734 27.12986 1.9912974
4125.7222 27.296597 1.9683205
4126.6733 27.361279 1.9073595
4127.623 29.078812 1.9018731
4128.5723 30.947611 1.9094977
4129.5244 23.672089 2.2642272
4130.4746 21.767799 2.2270994
4131.4268 26.253582 2.2897196
4132.3774 27.123295 1.7464756
4133.3301 25.393032 1.7333348
4134.2812 25.337328 1.7401819
4135.2324 25.061779 1.7517955
4136.1855 25.193783 1.7614974
4137.1372 27.177954 1.7899979
4138.0913 24.874073 1.7800063
4139.0435 25.186617 1.8181872
4139.9976 27.544554 1.8535526
4140.9502 29.598684 1.8595482
4141.9028 26.015511 1.7989244
4142.8579 26.620262 1.8161541
4143.811 26.751637 1.7913229
4144.7666 24.995817 1.7426541
4145.7202 25.330147 1.7425824
4146.6758 26.010189 1.7369993
4147.6299 25.821678 1.7635853
4148.584 27.597672 1.8296154
4149.5405 26.243923 1.8368019
4150.4951 25.908169 1.809821
4151.4526 25.843262 1.7832963
4152.4072 24.710976 1.7803472
4153.3647 23.863096 1.7478566
4154.3203 24.178215 1.7389314
4155.2764 22.915892 1.7218856
4156.2344 25.736246 1.7871248
4157.1904 26.988762 1.8219312
4158.1489 22.757071 1.7653421
4159.1055 23.380194 1.7549106
4160.0649 26.164204 1.7661625
4161.022 24.896524 1.7356815
4161.979 25.152536 1.7643666
4162.939 28.320393 1.791604
4163.8965 28.651604 1.8125348
4164.8564 25.090189 1.778051
4165.8149 26.411028 1.78687
4166.7754 28.723888 1.8105612
4167.7339 26.383396 1.7619416
4168.6929 24.462839 1.7324665
4169.6538 25.890079 1.7753192
4170.6133 26.326693 1.8080629
4171.5752 27.034946 1.8555253
4172.5347 25.632719 1.8388169
4173.4971 26.25931 1.7997887
4174.457 25.46991 1.7705535
4175.4175 27.048676 1.7549924
4176.3799 28.571661 1.7387768
4177.3408 28.403763 1.7004073
4178.3042 24.484932 1.6364859
4179.2651 24.26355 1.642064
4180.229 25.69977 1.6574274
4181.1909 24.862911 1.6616185
4182.1548 29.004686 1.7223176
4183.1172 28.839405 1.721591
4184.0796 25.628857 1.644852
4185.0444 24.751806 1.6403383
4186.0068 23.442642 1.6413513
4186.9722 23.994862 1.6728399
4187.9355 25.623611 1.689043
