# wavelength_A donor_subtracted_flux_1e-17 err_1e-17
3822.963 29.72608 3.574983
3823.842 29.93362 3.567326
3824.724 31.1444 3.542548
3825.604 31.18927 3.49278
3826.484 27.51914 3.390583
3827.367 27.22585 3.392875
3828.247 39.59494 3.620907
3829.13 33.56152 3.539664
3830.01 30.75201 3.474705
3830.894 30.21304 3.472314
3831.775 35.45654 3.558234
3832.657 37.62571 3.549013
3833.54 28.92613 3.440756
3834.422 26.9272 3.407617
3835.306 39.09598 3.6471
3836.189 35.10609 4.583332
3837.073 34.47575 4.54576
3837.956 30.88383 3.672838
3838.839 31.19481 3.29641
3839.724 31.55649 3.174777
3840.608 30.94698 3.17854
3841.493 34.80196 3.289057
3842.377 36.26009 3.37345
3843.263 30.2401 3.354923
3844.147 25.57469 3.287869
3845.032 26.61381 3.297177
3845.918 25.37216 3.17759
3846.803 24.58652 3.061703
3847.69 31.50928 3.170099
3848.575 31.46157 3.190117
3849.463 25.51617 3.052111
3850.348 25.41336 3.048018
3851.234 27.49186 3.117377
3852.122 26.98917 3.167274
3853.008 25.45387 3.130257
3853.897 24.42464 3.05787
3854.783 36.95382 3.251104
3855.672 30.73152 3.075753
3856.559 31.28682 2.983212
3857.446 25.97946 2.909563
3858.336 29.57126 2.903911
3859.223 31.80474 2.929012
3860.113 30.78343 2.919908
3861.001 30.88971 2.94034
3861.892 28.30051 2.896719
3862.78 27.6042 2.904353
3863.669 26.06361 2.871062
3864.56 28.99327 2.907107
3865.449 30.3368 2.879303
3866.34 30.46097 2.822964
3867.23 32.27056 2.846523
3868.121 32.62054 2.822645
3869.011 30.35296 2.773812
3869.901 28.16707 2.728911
3870.794 28.9124 2.780897
3871.684 32.41347 2.869053
3872.577 33.25804 2.953487
3873.468 31.42349 2.918873
3874.361 30.12373 2.893978
3875.252 29.87009 2.872228
3876.144 28.16243 2.786692
3877.038 30.60705 2.837649
3877.93 34.33026 2.86692
3878.824 30.85495 2.80993
3879.716 25.08098 2.714139
3880.611 28.06441 2.750783
3881.504 29.82633 2.80217
3882.396 34.3889 2.887956
3883.292 33.21035 2.854316
3884.185 26.92561 2.659904
3885.081 26.25996 2.698637
3885.975 30.58746 2.757167
3886.871 31.64653 2.773673
3887.765 29.14061 2.721152
3888.659 29.2611 2.671823
3889.556 29.80006 2.654228
3890.451 26.40667 2.536521
3891.348 26.96391 2.58086
3892.243 30.12336 2.626931
3893.141 30.07326 2.635922
3894.036 31.97481 2.676084
3894.934 30.75808 2.686196
3895.83 26.37349 2.605193
3896.726 29.37837 2.702254
3897.625 33.29236 2.73776
3898.521 26.01331 2.591482
3899.421 27.56834 2.579702
3900.318 26.49548 2.527148
3901.217 30.21201 2.55825
3902.115 29.94765 2.604385
3903.012 26.84667 2.60959
3903.912 27.63292 2.608469
3904.81 26.49439 2.623802
3905.711 28.14215 2.675882
3906.609 29.08277 2.761383
3907.51 23.63604 2.674174
3908.409 26.64047 2.712198
3909.308 24.08468 2.658787
3910.21 26.27284 2.656711
3911.109 31.63596 2.717921
3912.011 26.25681 2.556076
3912.911 24.60423 2.534785
3913.813 28.10703 2.602367
3914.714 27.65688 2.592647
3915.614 24.86894 2.548017
3916.517 24.26387 2.542754
3917.418 21.67978 2.495456
3918.322 24.74037 2.547958
3919.223 27.57465 2.614063
3920.127 34.57515 2.74072
3921.029 27.7513 2.62815
3921.931 26.69458 2.612674
3922.835 27.20345 2.576836
3923.737 24.12577 2.516895
3924.642 21.1208 2.436387
3925.545 22.86217 2.453907
3926.45 27.46892 2.474371
3927.354 25.71819 2.478253
3928.257 28.09315 2.474541
3929.163 19.7349 2.315723
3930.067 30.30327 2.534486
3930.973 31.24297 2.684337
3931.877 23.78069 3.074642
3932.784 24.27625 3.20883
3933.689 27.84735 2.625233
3934.594 26.44023 2.521924
3935.501 25.64982 2.442585
3936.406 25.98259 2.399466
3937.314 25.75793 2.368066
3938.22 25.59027 2.344825
3939.128 28.67885 2.371357
3940.034 27.20459 2.330854
3940.941 28.10451 2.368431
3941.849 31.49135 2.431175
3942.756 29.07812 2.396682
3943.665 25.75238 2.343996
3944.573 28.93633 2.368471
3945.482 29.30092 2.380645
3946.39 26.30074 2.339842
3947.298 23.0099 2.327227
3948.208 26.66712 2.390105
3949.116 27.95646 2.414493
3950.027 26.5581 2.361863
3950.936 23.44309 2.272045
3951.847 23.31153 2.233468
3952.756 27.60027 2.285379
3953.665 30.0418 2.563222
3954.577 27.95974 2.509581
3955.487 27.75368 2.466545
3956.399 23.21706 2.134126
3957.309 26.2708 2.20104
3958.221 23.58338 2.148436
3959.132 24.42422 2.155083
3960.045 25.19214 2.160874
3960.956 27.02179 2.186315
3961.867 27.62434 2.187561
3962.781 26.17364 2.142441
3963.692 27.1172 2.152528
3964.606 27.56456 2.16104
3965.519 24.13652 2.095147
3966.433 28.12208 2.193739
3967.345 27.64579 2.154844
3968.258 25.05208 2.069837
3969.173 28.21298 2.113565
3970.086 27.43599 2.08586
3971.002 27.45476 2.125246
3971.915 28.22576 2.132318
3972.831 25.63556 2.103196
3973.745 27.65445 2.12619
3974.659 30.25512 2.16868
3975.576 30.14696 2.177871
3976.49 26.96341 2.125337
3977.407 28.34492 2.207411
3978.323 25.59693 2.157939
3979.24 25.56459 2.158701
3980.155 27.5466 2.18448
3981.071 28.35763 2.199346
3981.989 27.46739 2.232307
3982.905 25.55046 2.208923
3983.823 27.30471 2.270639
3984.74 30.83853 2.348882
3985.659 23.36285 2.2249
3986.576 27.2788 2.312885
3987.493 23.71172 2.233716
3988.412 23.63393 2.232346
3989.33 24.37038 2.281713
3990.25 24.85009 2.34048
3991.168 27.28928 2.439378
3992.088 27.99002 2.482514
3993.006 26.01419 2.462849
3993.925 27.71924 2.480399
3994.846 22.50435 2.349855
3995.765 25.07782 2.351657
3996.686 25.51384 2.428018
3997.606 25.87077 2.418006
3998.528 28.15197 2.464612
3999.448 29.32419 2.434516
4000.367 24.48212 2.292097
4001.29 20.18434 2.191891
4002.21 25.17782 2.235804
4003.133 29.6292 2.278014
4004.054 25.39129 2.166564
4004.977 25.34496 2.129127
4005.899 26.83666 2.109295
4006.821 22.3533 2.015319
4007.745 27.71617 2.069681
4008.666 29.26095 2.144516
4009.591 25.79211 2.10792
4010.513 25.81297 2.121019
4011.438 28.41083 2.123266
4012.361 28.37742 2.100758
4013.284 27.76139 2.064399
4014.209 26.25598 2.026713
4015.133 26.55882 2.036948
4016.059 26.18496 2.033224
4016.983 24.76846 1.96453
4017.909 24.25857 1.952903
4018.833 25.78457 1.968325
4019.758 26.42272 2.17025
4020.685 24.69769 2.178788
4021.61 25.12872 2.226719
4022.537 29.66888 2.08383
4023.462 30.36518 2.093845
4024.39 24.6215 2.003485
4025.316 25.90001 2.002586
4026.242 30.59475 2.048875
4027.17 28.47634 2.0079
4028.097 26.55596 1.949899
4029.026 26.25123 1.92249
4029.953 27.37411 1.910648
4030.882 27.7773 1.917504
4031.809 25.8247 1.864785
4032.739 25.46649 1.866862
4033.667 26.29691 1.861351
4034.595 24.49754 1.876144
4035.525 27.93388 1.953508
4036.453 22.00353 1.878218
4037.384 23.86537 1.927012
4038.313 22.9736 1.922811
4039.244 24.13374 1.908224
4040.174 25.11706 1.916601
4041.103 24.33785 1.912542
4042.035 27.2249 2.002176
4042.965 27.95001 2.04234
4043.897 23.05235 1.954586
4044.827 24.35708 2.032501
4045.76 24.05912 2.08742
4046.691 28.85182 2.227937
4047.622 24.90385 2.141925
4048.555 26.42322 2.083884
4049.486 27.41762 2.047628
4050.42 26.96235 2.025729
4051.352 26.96054 2.039921
4052.286 24.81954 2.017704
4053.218 24.48319 1.958376
4054.151 22.85059 1.897182
4055.086 25.83827 1.936135
4056.019 25.91622 1.936567
4056.954 26.55715 1.949292
4057.887 23.15666 1.93624
4058.823 22.61123 1.976035
4059.757 24.23351 2.048459
4060.691 24.95818 2.076152
4061.627 26.29125 2.103455
4062.561 27.87119 2.10673
4063.498 25.68295 2.050163
4064.433 23.11979 1.96505
4065.37 26.75316 1.986495
4066.305 30.55785 2.044228
4067.241 27.39848 1.986607
4068.179 25.9418 1.951995
4069.115 27.76038 1.975204
4070.053 26.57078 1.967058
4070.989 24.08267 1.951403
4071.928 24.18208 1.9419
4072.865 26.68607 2.015659
4073.802 28.47321 2.056948
4074.741 23.87485 1.949271
4075.679 22.76592 1.932386
4076.618 21.0475 1.88036
4077.556 24.53419 2.003685
4078.497 23.40439 2.00249
4079.435 26.02254 2.022792
4080.373 26.82229 2.042828
4081.314 26.85369 2.041325
4082.253 26.45107 2.054967
4083.194 23.96479 2.042129
4084.134 25.37375 2.038165
4085.076 24.82763 2.010264
4086.015 26.85277 2.038934
4086.955 29.99664 2.147554
4087.898 28.46651 2.110722
4088.838 26.72827 2.057559
4089.781 28.28664 2.019275
4090.722 26.10594 1.979442
4091.665 23.99883 1.931714
4092.606 25.33638 1.96915
4093.548 27.95507 2.049464
4094.492 30.5132 2.093626
4095.434 27.18773 2.044951
4096.378 22.39463 1.888068
4097.321 29.8552 1.992351
4098.266 28.47483 1.967791
4099.208 27.80477 1.966628
4100.151 29.92882 2.041833
4101.097 31.47003 2.044487
4102.04 29.59729 2.003354
4102.986 28.31036 1.978468
4103.93 28.43826 1.969632
4104.877 25.88034 1.91426
4105.821 25.45411 1.898608
4106.768 26.32617 1.904913
4107.712 30.33569 1.982153
4108.657 31.37042 2.021211
4109.605 28.9242 1.947066
4110.55 25.80246 1.86811
4111.498 26.2917 1.845436
4112.444 27.66546 1.860904
4113.392 27.69185 1.858812
4114.338 27.04117 1.864791
4115.285 27.58992 1.889104
4116.234 30.04594 1.95949
4117.181 29.66107 1.944707
4118.13 30.26798 1.920092
4119.078 27.27494 1.8161
4120.027 26.89613 1.818142
4120.975 29.52771 1.884052
4121.923 25.92429 1.854032
4122.874 26.42092 1.943699
4123.822 28.33863 2.019538
4124.773 27.12908 1.991297
4125.722 27.295 1.96832
4126.673 27.36512 1.90736
4127.623 29.07619 1.901873
4128.572 30.94532 1.909498
4129.524 23.67693 2.264227
4130.475 21.7638 2.227099
4131.427 26.25351 2.28972
4132.377 27.12352 1.746476
4133.33 25.38437 1.733335
4134.281 25.34305 1.740182
4135.232 25.05558 1.751796
4136.185 25.1859 1.761497
4137.137 27.17857 1.789998
4138.091 24.8832 1.780006
4139.043 25.18864 1.818187
4139.998 27.54991 1.853553
4140.95 29.61307 1.859548
4141.903 26.02073 1.798924
4142.858 26.61706 1.816154
4143.811 26.75067 1.791323
4144.767 24.99131 1.742654
4145.72 25.32173 1.742582
4146.676 26.00534 1.736999
4147.63 25.83828 1.763585
4148.584 27.60793 1.829615
4149.541 26.23452 1.836802
4150.495 25.90873 1.809821
4151.453 25.84423 1.783296
4152.407 24.71767 1.780347
4153.365 23.86153 1.747857
4154.32 24.18172 1.738931
4155.276 22.91525 1.721886
4156.234 25.72912 1.787125
4157.19 26.99959 1.821931
4158.149 22.74493 1.765342
4159.105 23.3718 1.754911
4160.065 26.16491 1.766163
4161.022 24.89657 1.735682
4161.979 25.15487 1.764367
4162.939 28.32817 1.791604
4163.896 28.65263 1.812535
4164.856 25.10174 1.778051
4165.815 26.41123 1.78687
4166.775 28.70598 1.810561
4167.734 26.38468 1.761942
4168.693 24.46124 1.732466
4169.654 25.89066 1.775319
4170.613 26.32556 1.808063
4171.575 27.02103 1.855525
4172.535 25.62925 1.838817
4173.497 26.26608 1.799789
4174.457 25.46986 1.770553
4175.417 27.05084 1.754992
4176.38 28.57212 1.738777
4177.341 28.40947 1.700407
4178.304 24.49553 1.636486
4179.265 24.26441 1.642064
4180.229 25.6999 1.657427
4181.191 24.86447 1.661619
4182.155 29.00137 1.722318
4183.117 28.83112 1.721591
4184.08 25.6138 1.644852
4185.044 24.73743 1.640338
4186.007 23.44021 1.641351
4186.972 23.97433 1.67284
4187.935 25.60355 1.689043
4188.901 24.04919 1.632899
4189.865 25.81514 1.653966
4190.829 28.97083 1.69829
4191.795 27.30045 1.676542
4192.759 25.44522 1.631761
4193.726 27.14699 1.663158
4194.691 25.57252 1.599358
4195.658 27.4882 1.630128
4196.623 25.33176 1.617751
4197.589 23.08387 1.665999
4198.557 22.72513 1.6729
4199.523 24.82337 1.629432
4200.491 24.96478 1.639349
4201.458 25.10865 1.649163
4202.426 25.87479 1.644073
4203.393 25.27113 1.643689
4204.36 26.13119 1.687375
4205.33 27.89853 1.648718
4206.297 22.58982 1.549209
4207.267 25.06379 1.618035
4208.235 25.92845 1.638157
4209.205 23.18021 1.592966
4210.174 24.88983 1.650267
4211.142 26.08206 1.630594
4212.113 24.12388 1.586471
4213.082 23.58557 1.579084
4214.054 25.30148 1.583997
4215.023 26.06917 1.615521
4215.995 24.48499 1.6123
4216.965 23.53009 1.609604
4217.935 26.83574 1.5906
4218.908 24.73265 1.586662
4219.878 24.86873 1.60697
4220.852 26.45126 1.637883
4221.822 22.30429 1.573654
4222.796 25.46735 1.610395
4223.768 26.21016 1.620028
4224.739 24.14367 1.583661
4225.713 24.26378 1.580073
4226.685 24.97689 1.552444
4227.66 24.15549 1.536382
4228.633 24.88764 1.5484
4229.608 27.91255 1.634856
4230.581 25.76593 1.616643
4231.554 23.87166 1.579918
4232.53 25.68437 1.626889
4233.503 23.02698 1.556153
4234.48 24.27547 1.578742
4235.454 23.91561 1.559361
4236.431 23.72038 1.552166
4237.405 25.03551 1.560923
