# wavelength_A flux_1e-17 err_1e-17
3980.1553 0.18224485 0.43503109
3981.0708 0.21244946 0.43509647
3981.9888 0.59137028 0.46017906
3982.905 -0.54416919 0.41894886
3983.8232 -0.43212306 0.42723736
3984.7397 0.40089357 0.42570612
3985.6587 0.057362355 0.41176936
3986.5757 0.080342956 0.40736911
3987.4927 -0.36306134 0.40417135
3988.4121 -0.39857423 0.42025676
3989.3298 -0.012275869 0.43987185
3990.2498 0.013006211 0.44450733
3991.1677 -0.10390125 0.43166807
3992.0879 -0.35903147 0.42954859
3993.0063 -0.28864157 0.42898387
3993.925 -0.26672584 0.41618392
3994.8459 -0.15486996 0.40306434
3995.7649 -0.0029437304 0.40121573
3996.6863 -0.24205993 0.41300967
3997.6057 -0.12381702 0.41303277
3998.5276 -0.57936746 0.41933742
3999.4475 -0.33047828 0.43629363
4000.3674 0.28820699 0.43391159
4001.29 0.32722884 0.44534925
4002.2104 -0.50266761 0.42293304
4003.1333 -0.33449835 0.4139075
4004.0544 0.11610135 0.42761871
4004.9775 0.10965227 0.42348695
4005.8989 0.6695255 0.44158471
4006.8206 1.1277297 0.44184631
4007.7446 -0.19582979 0.42589548
4008.6665 -0.10469271 0.43367404
4009.5908 -0.25426075 0.43934619
4010.5132 -0.026439929 0.43367708
4011.438 0.094275914 0.4309251
4012.3608 0.36299285 0.43139812
4013.2839 0.15429902 0.43507788
4014.2095 -0.049390938 0.44526169
4015.1328 -0.10309519 0.45952946
4016.0588 -0.39741522 0.4506309
4016.9827 -0.038790118 0.45294115
4017.9089 0.96049488 0.45705786
4018.8333 0.88202631 0.44228083
4019.7578 -1.0122949 0.43250537
4020.6848 -0.22314098 0.4337548
4021.6096 0.32904178 0.44249138
4022.5371 0.03259268 0.44523776
4023.4624 0.21327978 0.45306709
4024.3901 0.22498976 0.45858899
4025.3162 -0.37055913 0.44996378
4026.2422 -0.34725815 0.42744264
4027.1704 -0.74851453 0.39767036
4028.0969 -0.36660773 0.39335552
4029.0259 -0.23278238 0.41085607
4029.9526 1.109522 0.41712275
4030.8821 -0.40019646 0.39400828
4031.8093 -0.6153397 0.37658143
4032.739 0.29803279 0.40372479
4033.6667 0.20054209 0.42541215
4034.5947 0.062828533 0.43429354
4035.5251 0.75261444 0.4351559
4036.4534 0.67398316 0.42676014
4037.3843 0.28459996 0.41648108
4038.313 -0.22744808 0.41271114
4039.2441 0.82725507 0.42528078
4040.1736 0.55153644 0.42544407
4041.103 0.50570917 0.41440478
4042.0347 -0.62195939 0.40145501
4042.9646 -1.0633491 0.38695604
4043.897 -0.68051869 0.39398336
4044.8271 0.007046842 0.42852139
4045.76 0.10137188 0.44836718
4046.6907 -0.95510757 0.4795408
4047.6216 0.50304955 0.49786571
4048.5549 -0.94541019 0.46948627
4049.4863 -0.3909975 0.44582641
4050.4202 -0.37850022 0.43134728
4051.3521 0.094241194 0.43825594
4052.2861 0.38761702 0.44992742
4053.2185 0.35351169 0.4404549
4054.1509 -0.52350855 0.43393862
4055.0857 -0.68439335 0.43353936
4056.0186 -0.057215732 0.44856754
4056.9539 0.095867269 0.44439387
4057.8872 0.52304459 0.435601
4058.823 0.72322434 0.43476126
4059.7566 0.80158633 0.44241232
4060.6907 0.020558158 0.44065592
4061.627 0.017359456 0.42949229
4062.5613 1.0744506 0.42147452
4063.4983 0.25293162 0.40261182
4064.4331 -0.18820289 0.40089369
