wavelength_A,flux,error,model,mission,instrument,plate,mjd,fiberid,specobjid,run2d,programname,data_release
3867.2297,-0.005293068,0.53072804,0.07952849,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3868.1213,-0.6086776,0.5114619,0.100590155,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3869.0112,-0.8973591,0.5255181,0.11553887,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3869.9014,-0.31372923,0.52951807,0.106496535,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3870.7937,-0.11638981,0.5291691,0.10455704,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3871.684,-0.44402722,0.5303391,0.10389268,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3872.577,-0.3260162,0.5101992,0.100535445,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3873.4678,-1.1606836,0.5109298,0.11027932,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3874.361,1.12872,0.5466213,0.101071164,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3875.2524,0.31424183,0.54012597,0.11438535,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3876.1438,-0.3779703,0.5228423,0.109235056,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3877.0376,-0.16169783,0.4815008,0.08853855,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3877.9297,-0.13200872,0.51713264,0.07342485,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3878.8237,-0.606021,0.47033474,0.06420389,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3879.716,-0.21896203,0.50854236,0.07099507,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3880.6108,0.4293188,0.5048625,0.104620315,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3881.5037,0.2786919,0.51863575,0.11384854,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3882.3965,0.5994008,0.5029682,0.11108876,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3883.2917,-0.29969507,0.49245307,0.110493414,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3884.185,0.6547775,0.5049748,0.093759686,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3885.0808,1.1476052,0.51693094,0.106535256,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3885.9746,0.5103637,0.4978864,0.11098762,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3886.8706,0.32702282,0.49705482,0.094869815,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3887.765,-0.13689367,0.4639571,0.080339104,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
