# wavelength_A donor_subtracted_flux_1e-17 err_1e-17
3993.925 5.143817 1.711557
3994.846 4.458019 1.669309
3995.765 5.535062 1.728036
3996.686 3.273331 1.714582
3997.606 6.244057 1.799073
3998.528 4.637192 1.776272
3999.448 2.423033 1.724055
4000.367 5.562413 1.785265
4001.29 6.374169 1.745426
4002.21 4.836113 1.742248
4003.133 7.260561 1.770331
4004.054 6.482206 1.7786
4004.977 5.941473 1.793325
4005.899 8.364619 1.820983
4006.821 9.196945 1.854583
4007.745 2.862887 1.759713
4008.666 3.196634 1.829817
4009.591 8.069482 1.970054
4010.513 4.730633 2.021007
4011.438 4.175657 1.959279
4012.361 3.076726 1.887796
4013.284 2.566905 1.804863
4014.209 5.058966 1.797158
4015.133 5.191791 1.764281
4016.059 5.122049 1.758704
4016.983 5.68838 1.721608
4017.909 5.480531 1.729427
4018.833 5.477001 1.73622
4019.758 5.188947 1.764636
4020.685 2.063097 1.734043
4021.61 4.985974 1.762924
4022.537 8.575667 1.809074
4023.462 3.778374 1.774514
4024.39 3.432117 1.771321
4025.316 6.942548 1.789079
4026.242 5.300457 1.750319
4027.17 5.129634 1.71787
4028.097 7.428782 1.788566
4029.026 6.524785 1.771121
4029.953 3.903917 1.733548
4030.882 6.550775 1.842227
4031.809 8.221723 1.866685
4032.739 3.854615 1.769944
4033.667 2.913266 1.646714
4034.595 5.399455 1.581482
4035.525 7.041056 1.654801
4036.453 6.545559 1.623554
4037.384 5.178768 1.672968
4038.313 5.802198 1.699081
4039.244 7.595882 1.818412
4040.174 4.989109 1.826352
4041.103 5.357518 1.799038
4042.035 3.415359 1.785188
4042.965 1.280091 1.789944
4043.897 8.297537 1.863438
4044.827 5.346224 1.92201
4045.76 8.047972 2.142049
4046.691 11.57844 2.374179
4047.622 2.922475 2.392234
4048.555 7.623032 2.138104
4049.486 2.159519 1.808158
4050.42 7.48539 1.70429
4051.352 1.89469 1.646061
4052.286 7.445328 1.65356
4053.218 5.403228 1.641636
4054.151 4.696537 1.632427
4055.086 4.521725 1.683514
4056.019 3.853607 1.736294
4056.954 4.672792 1.686607
4057.887 4.334331 1.627036
4058.823 9.40618 1.627412
4059.757 4.057381 1.591914
4060.691 9.289459 1.639563
4061.627 5.293641 1.632645
4062.561 5.750696 1.610714
4063.498 6.663657 1.737021
4064.433 5.451993 1.824006
4065.37 6.426266 1.91231
4066.305 7.845598 1.873144
4067.241 5.754267 1.774082
4068.179 5.217177 1.712114
4069.115 6.172786 1.656935
4070.053 5.059601 1.589758
4070.989 3.573597 1.559216
4071.928 5.635347 1.614709
4072.865 7.185557 1.703492
4073.802 5.448574 1.759698
4074.741 5.67495 1.729385
4075.679 7.611593 1.782012
4076.618 3.243318 1.812466
4077.556 2.163836 1.763439
4078.497 5.767876 1.75289
4079.435 3.604437 1.690686
4080.373 7.22641 1.658378
4081.314 7.908273 1.629827
4082.253 7.001839 1.642868
4083.194 2.987051 1.532559
4084.134 0.9906012 1.540979
4085.076 3.895172 1.621325
4086.015 5.746193 1.720833
4086.955 4.068373 1.743461
4087.898 5.558322 1.751362
4088.838 3.252203 1.701812
4089.781 6.231403 1.695946
4090.722 8.187613 1.685107
4091.665 4.973404 1.738448
4092.606 3.879127 1.755066
4093.548 5.86945 1.664881
4094.492 4.929182 1.655342
4095.434 3.410056 1.653268
4096.378 6.001174 1.645916
4097.321 5.062307 1.578871
4098.266 6.24609 1.558641
4099.208 3.915344 1.539615
4100.151 4.784549 1.546593
4101.097 5.459375 1.585049
4102.04 5.857861 1.533652
4102.986 6.614822 1.470843
4103.93 6.474461 1.476945
4104.877 4.811479 1.41989
4105.821 6.26268 1.492468
4106.768 11.21026 1.567739
4107.712 4.995979 1.501808
4108.657 4.435569 1.483521
4109.605 4.274255 1.476165
4110.55 7.419455 1.464343
4111.498 4.799916 1.437909
4112.444 4.081612 1.393751
4113.392 5.561222 1.403819
4114.338 4.421018 1.436901
4115.285 5.115965 1.503801
4116.234 6.665948 1.53794
4117.181 6.248693 1.487635
4118.13 5.828888 1.451196
4119.078 4.444938 1.423856
4120.027 6.662253 1.430092
4120.975 3.489766 1.396667
4121.923 6.168017 1.410643
4122.874 6.51676 1.432417
4123.822 4.653881 1.418681
4124.773 5.383668 1.46059
4125.722 3.744502 1.497942
4126.673 5.338266 1.571407
4127.623 8.116248 1.665034
4128.572 8.007321 1.676767
4129.524 4.233399 1.557038
4130.475 3.873032 1.436325
4131.427 4.059551 1.384022
