# wavelength_A flux_1e-17 err_1e-17
3805.3972 7.611639 7.6625209
3806.2727 7.607903 8.6065884
3807.1504 5.8208036 8.1278152
3808.0261 -2.4481082 7.6766305
3808.9043 7.605248 8.0875864
3809.7805 12.08716 7.8635631
3810.6589 -0.03458539 5.568727
3811.5356 6.5320821 4.3638072
3812.4126 10.356972 4.227644
3813.2917 2.8887558 3.9523394
3814.1689 18.220947 3.911304
3815.0483 9.3552341 3.6190522
3815.926 8.9562378 3.3731065
3816.8059 9.230298 3.3182802
3817.6841 10.248625 3.2147427
3818.5623 11.884026 3.2448132
3819.4429 6.7964797 3.1452596
3820.3215 5.9993439 3.0307348
3821.2024 9.8720169 3.1818011
3822.0815 12.837543 3.1771431
3822.9629 3.0183387 3.0727446
3823.8423 6.8279529 3.0312464
3824.7241 7.4962707 3.047502
3825.604 7.1079392 3.0401864
3826.4841 9.4360847 3.0965462
3827.3665 6.0480213 3.2139418
3828.2468 3.0873785 3.4962056
3829.1296 10.092204 3.7692106
3830.0105 6.9535642 3.8328772
3830.8938 7.486855 3.7365274
3831.7751 5.2799573 3.5417495
3832.6565 10.502538 3.3888934
3833.5403 11.012411 3.3730388
3834.4224 8.77388 3.2556489
3835.3064 10.99297 3.3157177
3836.1887 11.746115 3.2254338
3837.0735 10.500213 3.1902459
3837.9561 12.615641 3.1062608
3838.8391 12.548635 3.0607696
3839.7244 7.3714252 2.893939
3840.6077 5.8537698 2.9043553
3841.4932 4.8778429 2.9182386
3842.377 10.162273 2.985631
3843.2629 10.805363 2.9866045
3844.1472 1.5849211 2.8810625
3845.0315 5.2921209 2.9347801
3845.9182 11.522596 3.0328436
3846.803 9.9646673 3.0583286
3847.6899 5.6559711 3.0681458
3848.5752 8.6350861 3.1084292
3849.4626 3.9830415 3.0743744
3850.3481 5.0579624 3.0713019
3851.2339 8.8998194 3.0673051
3852.1221 6.521399 3.0003493
3853.0083 4.1920142 2.855252
3853.8967 2.0127544 2.7282259
3854.7832 5.2524686 2.7797849
3855.6721 9.7084332 2.7745554
3856.5591 12.221799 2.7407305
3857.4463 6.5316057 2.6426904
3858.3359 8.0800428 2.6275005
3859.2234 10.443481 2.6760702
3860.1135 7.0277042 2.7486999
3861.0015 6.8991909 2.8918183
3861.8918 8.9053326 3.017278
3862.7803 2.710268 2.9626367
3863.6687 8.1687355 2.9429994
3864.5598 8.1021929 2.8455
3865.4487 9.2144537 2.6770687
3866.3401 4.0559549 2.4761581
3867.2297 4.1135087 2.4050794
3868.1213 9.1214132 2.553901
3869.0112 8.7192354 2.5413289
3869.9014 3.4285395 2.4748833
3870.7937 2.5338476 2.4919879
3871.6841 6.5023227 2.5908082
3872.5769 1.2077056 2.5247231
3873.4678 5.0423222 2.5552721
3874.3611 7.4169679 2.5226104
3875.2524 6.6672959 2.4429617
3876.1438 3.4008837 2.3547819
3877.0376 2.0688868 2.2244432
3877.9297 6.3355532 2.3255415
3878.8237 10.973068 2.4639757
3879.7161 9.8940105 2.4757822
3880.6108 -0.3464376 2.3042283
3881.5037 6.9495702 2.3949547
3882.3965 7.4763107 2.4461851
3883.2917 8.2632103 2.4038358
3884.1851 9.9251909 2.4884963
3885.0808 9.9688091 2.4565828
3885.9746 8.0566406 2.4401913
3886.8706 4.7038307 2.3530407
3887.7649 3.5836823 2.2862301
3888.6592 5.7552533 2.3403838
3889.5559 13.336398 2.4901085
3890.4507 7.1423254 2.4693816
3891.3479 5.9535942 2.391571
3892.2429 9.1408434 2.4960639
3893.1406 6.4356403 2.3935761
3894.0361 4.8169341 2.332799
3894.9341 10.609271 2.392695
3895.8301 11.239171 2.3095455
3896.7263 8.0455437 2.2704108
3897.625 10.662805 2.2497389
3898.5215 5.513618 2.1890411
3899.4207 10.024873 2.2493484
3900.3176 9.9636164 2.3408504
3901.217 4.6816993 2.3128517
3902.1145 5.8594041 2.3801682
3903.0122 10.030057 2.5114048
3903.9121 7.8662839 2.4806967
3904.8103 7.6466227 2.4781907
3905.7107 10.252707 2.5057726
3906.6094 10.249055 2.4900057
3907.51 5.1543121 2.44521
3908.4089 6.9629626 2.4562526
3909.3081 7.1273351 2.422266
3910.2097 5.2774625 2.3775597
3911.1091 5.0698724 2.3398912
3912.011 5.78404 2.2628589
3912.9111 4.37748 2.2495029
3913.8132 1.3924204 2.2061658
3914.7136 10.764829 2.3059537
3915.6143 10.599541 2.2858927
3916.5171 8.2122746 2.2480757
3917.4182 7.003305 2.2261825
3918.3215 3.6035554 2.2386878
3919.2229 3.9542005 2.1847274
3920.1267 6.2416353 2.2432919
3921.0286 3.581007 2.1239953
3921.9307 3.06161 2.1052487
3922.835 7.2837825 2.1133082
3923.7373 3.9057491 2.0805044
3924.6421 11.081089 2.1795964
3925.5452 13.391932 2.2949111
3926.4502 9.8181496 2.2405171
3927.3535 5.5927601 2.145576
3928.2571 6.2146273 2.1080241
3929.1628 8.3748722 2.1460819
3930.0667 6.1457553 2.0963407
3930.9731 8.1657219 2.1954284
3931.8774 15.661586 2.3572931
3932.7839 9.2962809 2.4736371
3933.6887 10.610013 2.8257403
3934.5938 1.0318434 2.6211822
3935.501 4.6553617 2.5523205
3936.4062 9.6397352 2.2657866
3937.3142 10.788898 2.2457197
3938.22 9.0153809 2.1568439
3939.1279 2.2484481 2.0952399
3940.0342 8.3548756 2.1510139
3940.9407 4.0898271 2.1194203
3941.8494 8.7921686 2.1513987
3942.7561 5.5390172 2.146801
3943.6653 2.0510275 2.0922937
3944.5725 0.46809953 2.11145
3945.4822 4.4504571 2.1670945
3946.3899 7.5344996 2.2064211
3947.2979 4.0316858 2.1916323
3948.208 5.2691703 2.2970371
3949.1162 4.0631466 2.2126179
3950.0269 2.6721501 2.0639131
3950.9355 3.8020098 1.9553353
3951.8467 9.7690916 2.0567112
3952.7559 6.4057207 2.0374026
3953.665 1.6902784 1.9729663
3954.5769 2.5386968 1.9264048
3955.4866 4.5891914 1.9604262
3956.3987 5.4903312 2.0063665
3957.3088 7.0794973 2.0266747
3958.2214 4.2996788 1.9616652
3959.1321 3.6433473 1.9003557
3960.0449 8.3063126 1.9282669
3960.9561 8.3247108 1.9587646
3961.8672 4.6640425 1.8831943
3962.7808 2.3807909 1.8706237
3963.6924 6.3159385 1.8828824
3964.6064 8.5492983 1.9053798
3965.5186 6.1542549 1.9316533
3966.4329 14.669742 2.9859319
3967.3455 7.9422898 2.8921452
3968.2581 12.17508 2.7662749
3969.1731 12.606261 3.6856847
3970.0862 5.5690789 2.1677861
3971.0017 6.1955032 2.2848022
3971.9153 10.895131 1.9126356
3972.8313 13.801649 2.2087722
3973.7451 12.709087 2.1401234
3974.6592 3.9440868 1.8408504
3975.5759 5.3707805 1.8407505
3976.4905 8.3389091 1.9068264
3977.4075 8.8471851 1.8876114
3978.3225 6.1243639 1.8208175
3979.2397 4.4285536 1.7613341
3980.1553 6.8757205 1.8321358
3981.0708 5.703681 1.7885273
3981.9888 4.6791677 1.7963744
3982.905 9.7479725 1.8432364
3983.8232 7.4699502 1.7946599
3984.7397 5.1747427 1.7660608
3985.6587 5.04708 1.7532376
3986.5757 4.1638756 1.7002406
3987.4927 3.4032595 1.725343
3988.4121 6.3573318 1.8119683
3989.3298 8.9224987 1.951499
3990.2498 7.2796335 1.9262636
3991.1677 4.3511147 1.8324808
3992.0879 5.2775621 1.8040174
3993.0063 8.0969791 1.7721169
3993.925 6.2220421 1.7115569
3994.8459 6.3981361 1.6693087
3995.7649 7.0596147 1.7280358
3996.6863 4.1680317 1.7145822
