wavelength_A,flux,error,model,mission,instrument,plate,mjd,fiberid,specobjid,run2d,programname,data_release
3805.3972,7.611639,7.662521,-11.635698,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3806.2727,7.607903,8.606588,-5.906596,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3807.1504,5.8208036,8.127815,-8.338434,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3808.0261,-2.4481082,7.6766305,-6.711601,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3808.9043,7.605248,8.087586,-7.755728,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3809.7805,12.08716,7.863563,-7.1582646,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3810.659,-0.03458539,5.568727,-6.7192507,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3811.5356,6.532082,4.363807,-8.362964,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3812.4126,10.356972,4.227644,-9.4188595,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3813.2917,2.8887558,3.9523394,-7.898635,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3814.169,18.220947,3.911304,-12.734513,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3815.0483,9.355234,3.6190522,-11.361577,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3815.926,8.956238,3.3731065,-7.1330686,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3816.806,9.230298,3.3182802,-8.7505045,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3817.684,10.248625,3.2147427,-14.312297,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3818.5623,11.884026,3.2448132,-9.616885,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3819.4429,6.7964797,3.1452596,-11.620847,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3820.3215,5.999344,3.0307348,-10.493763,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3821.2024,9.872017,3.181801,-9.096608,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3822.0815,12.8375435,3.177143,-10.618124,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3822.963,3.0183387,3.0727446,-11.1804695,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3823.8423,6.827953,3.0312464,-11.075658,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3824.724,7.4962707,3.047502,-10.709329,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3825.604,7.1079392,3.0401864,-9.1161,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3826.4841,9.436085,3.0965462,-8.532786,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3827.3665,6.0480213,3.2139418,-8.852915,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3828.2468,3.0873785,3.4962056,-8.156583,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3829.1296,10.092204,3.7692106,-9.235691,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3830.0105,6.953564,3.8328772,-5.6326475,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3830.8938,7.486855,3.7365274,-7.11349,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3831.7751,5.2799573,3.5417495,-9.462012,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3832.6565,10.502538,3.3888934,-9.160275,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3833.5403,11.012411,3.3730388,-9.094379,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3834.4224,8.77388,3.2556489,-6.1177073,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3835.3064,10.9929695,3.3157177,-4.2666407,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3836.1887,11.746115,3.2254338,-7.2172065,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3837.0735,10.500213,3.1902459,-8.294198,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3837.956,12.615641,3.1062608,-5.6182656,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3838.839,12.5486355,3.0607696,-6.0087757,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3839.7244,7.371425,2.893939,-10.485323,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3840.6077,5.85377,2.9043553,-10.447427,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3841.4932,4.877843,2.9182386,-8.68019,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3842.377,10.162273,2.985631,-5.178435,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3843.263,10.805363,2.9866045,-3.9959805,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3844.1472,1.5849211,2.8810625,-8.697177,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3845.0315,5.292121,2.9347801,-6.1205587,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3845.9182,11.522596,3.0328436,-4.2445917,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3846.803,9.964667,3.0583286,-5.664651,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3847.69,5.655971,3.0681458,-5.6140065,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3848.5752,8.635086,3.1084292,-4.6041427,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3849.4626,3.9830415,3.0743744,-6.214871,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3850.3481,5.0579624,3.071302,-2.573453,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3851.234,8.899819,3.067305,-4.881556,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3852.122,6.521399,3.0003493,-3.9663556,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3853.0083,4.192014,2.855252,-2.6391785,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3853.8967,2.0127544,2.728226,-4.1983414,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3854.7832,5.2524686,2.779785,-5.565693,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3855.672,9.708433,2.7745554,-6.04082,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3856.559,12.221799,2.7407305,-2.5660017,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3857.4463,6.5316057,2.6426904,-3.527157,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3858.336,8.080043,2.6275005,-6.0295,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3859.2234,10.443481,2.6760702,-5.8633356,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3860.1135,7.0277042,2.7487,-4.570663,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3861.0015,6.899191,2.8918183,-4.4893804,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3861.8918,8.905333,3.017278,-2.7730806,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3862.7803,2.710268,2.9626367,-0.8152765,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3863.6687,8.1687355,2.9429994,-0.74231917,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3864.5598,8.102193,2.8455,-2.4063547,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3865.4487,9.214454,2.6770687,-3.150054,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3866.34,4.055955,2.4761581,-1.3942138,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3867.2297,4.1135087,2.4050794,-2.5336752,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3868.1213,9.121413,2.553901,-1.121272,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3869.0112,8.719235,2.541329,-1.1023487,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3869.9014,3.4285395,2.4748833,-4.6687536,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3870.7937,2.5338476,2.491988,-5.303752,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3871.684,6.5023227,2.5908082,2.0099213,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3872.577,1.2077056,2.524723,-0.9608363,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3873.4678,5.042322,2.555272,-0.9565035,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3874.361,7.416968,2.5226104,0.29148093,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3875.2524,6.667296,2.4429617,0.87862664,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3876.1438,3.4008837,2.3547819,3.9909015,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3877.0376,2.0688868,2.2244432,1.2226651,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3877.9297,6.335553,2.3255415,-0.4481082,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3878.8237,10.973068,2.4639757,-0.9563485,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3879.716,9.894011,2.4757822,0.25302494,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3880.6108,-0.3464376,2.3042283,1.9381752,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3881.5037,6.94957,2.3949547,1.4068794,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3882.3965,7.4763107,2.446185,0.2793126,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3883.2917,8.26321,2.4038358,-0.23397548,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3884.185,9.925191,2.4884963,1.9821601,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3885.0808,9.968809,2.4565828,2.353766,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3885.9746,8.056641,2.4401913,-1.1390849,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3886.8706,4.7038307,2.3530407,-3.5692387,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3887.765,3.5836823,2.28623,-0.18722539,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3888.6592,5.7552533,2.3403838,1.0749154,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
3889.556,13.336398,2.4901085,3.0023885,SDSS-SDSS,SDSS,619,52056,437,697052198474901504,26,binning 1   1,DR18
